timestamp,global_x,global_y,global_theta,delta_x,delta_y,delta_theta,enc_left,enc_right,acc_x,acc_y,acc_z
1.777775002436917543e+09,4.589030873819260892e-01,-7.349306226089626914e-01,-2.080218794074993216e+00,-7.814771247901486362e-02,-1.630908588263782835e-02,1.232581513073659207e-01,1.478859999999999900e+03,2.325000000000000000e+03,7.750000000000000000e+02,-9.320000000000000000e+02,-2.677000000000000000e+03
1.777775002587114096e+09,4.919981864897467472e-01,-6.556380732104881703e-01,-1.936880119459550409e+00,-8.536407152160391254e-02,-9.775953576020214586e-03,1.433386746154426961e-01,1.531430000000000064e+03,2.411000000000000000e+03,-2.073000000000000000e+03,3.640000000000000000e+02,7.270000000000000000e+02
1.777775002730784655e+09,5.049617223798263943e-01,-5.671804349122343547e-01,-1.803688584649010274e+00,-8.723655914042074966e-02,-1.955990248999155134e-02,1.331915348105402463e-01,1.577140000000000100e+03,2.483000000000000000e+03,-3.529000000000000000e+03,3.256000000000000000e+03,6.959000000000000000e+03
1.777775002879745483e+09,5.142558206804210830e-01,-4.799392437169244796e-01,-1.660912563614645565e+00,-8.703094639052452730e-02,-1.109144150989369200e-02,1.427760210343646252e-01,1.622859999999999900e+03,2.556000000000000000e+03,-9.210000000000000000e+02,-4.160000000000000000e+02,8.550000000000000000e+02
1.777775003026004553e+09,5.212779936931535296e-01,-4.104688865534146247e-01,-1.519556793130227845e+00,-6.982042149229734929e-02,7.417417908713712935e-04,1.413557704844177476e-01,1.668569999999999936e+03,2.630000000000000000e+03,-3.700000000000000000e+01,-9.480000000000000000e+02,-2.250000000000000000e+02
1.777775003169929504e+09,5.110761564276330438e-01,-3.327058794853273715e-01,-1.399305437737415891e+00,-7.818345508337577743e-02,-6.205650899729220869e-03,1.202513553928120787e-01,1.714289999999999964e+03,2.702000000000000000e+03,2.047000000000000000e+03,-1.592000000000000000e+03,-4.893000000000000000e+03
1.777775003317015409e+09,4.991807642002670242e-01,-2.528269713183151635e-01,-1.288295028330718184e+00,-8.073716678987701012e-02,1.910556186146727042e-03,1.110104094066976521e-01,1.766859999999999900e+03,2.787000000000000000e+03,-2.821000000000000000e+03,1.540000000000000000e+03,1.511000000000000000e+03
1.777775003465788841e+09,4.728002189844698333e-01,-1.961508035662609117e-01,-1.146780901438799294e+00,-6.178339725062100690e-02,-9.535878623056104342e-03,1.415141268919188344e-01,1.812569999999999936e+03,2.860000000000000000e+03,1.070000000000000000e+02,1.420000000000000000e+03,-2.157000000000000000e+03
1.777775003613054752e+09,4.379787791627473004e-01,-1.246669118993769532e-01,-1.007783509130459443e+00,-7.947994416665718487e-02,-2.327641373940379180e-03,1.389973923083397955e-01,1.858289999999999964e+03,2.933000000000000000e+03,1.707000000000000000e+03,-1.164000000000000000e+03,-4.889000000000000000e+03
1.777775003757332563e+09,3.918341688526982280e-01,-8.587281885989483943e-02,-8.779589521564542531e-01,-5.743531830630226737e-02,-1.831641139732384169e-02,1.298245569740050787e-01,1.904000000000000000e+03,3.007000000000000000e+03,-1.810000000000000000e+02,-1.116000000000000000e+03,-1.217000000000000000e+03
1.777775003905208111e+09,3.363465802336015331e-01,-3.681138530010248655e-02,-7.464541722101781795e-01,-7.319086857661395717e-02,-1.135753101271696174e-02,1.315047799462761291e-01,1.956569999999999936e+03,3.092000000000000000e+03,-1.597000000000000000e+03,-1.352000000000000000e+03,1.127000000000000000e+03
1.777775004048513174e+09,2.746398607574077610e-01,1.956658173961593056e-02,-6.010237511335927429e-01,-8.358187600633673608e-02,-5.141977309995421309e-04,1.454304210765854644e-01,2.002289999999999964e+03,3.165000000000000000e+03,-1.693000000000000000e+03,-1.944000000000000000e+03,6.700000000000000000e+01
1.777775004194839478e+09,2.103038974346702616e-01,5.014253200321273918e-02,-4.808289000915271227e-01,-7.035185033233866403e-02,-1.116342537050156285e-02,1.201948510420656202e-01,2.048000000000000000e+03,3.237000000000000000e+03,-1.677000000000000000e+03,-7.240000000000000000e+02,-1.337000000000000000e+03
1.777775004341964006e+09,1.438006095241698423e-01,6.986394162056430712e-02,-3.789837431355789210e-01,-6.808403599804231654e-02,-1.327348267861633985e-02,1.018451569559482295e-01,2.091429999999999836e+03,3.309000000000000000e+03,1.495000000000000000e+03,-3.940000000000000000e+03,-1.497000000000000000e+03
1.777775004486158133e+09,7.789025048731083867e-02,9.100285375700814527e-02,-2.730277960960130201e-01,-6.905433395401607000e-02,-4.746366699607580328e-03,1.059559470395659009e-01,2.137139999999999873e+03,3.381000000000000000e+03,-3.625000000000000000e+03,1.356000000000000000e+03,2.719000000000000000e+03
1.777775004633753300e+09,1.059857173194674040e-02,1.009039684037050799e-01,-1.577229869771339388e-01,-6.746893788004894310e-02,-8.610721357716358271e-03,1.153048091188790952e-01,2.189710000000000036e+03,3.465000000000000000e+03,-1.397000000000000000e+03,-5.080000000000000000e+02,4.950000000000000000e+02
1.777775004778019667e+09,-6.420144506503942805e-02,1.166361949558646360e-01,-3.482145629920703478e-02,-7.634261981468543068e-02,3.788121559330118009e-03,1.229015306779269318e-01,2.235429999999999836e+03,3.536000000000000000e+03,1.115000000000000000e+03,-2.136000000000000000e+03,-1.593000000000000000e+03
1.777775004925064802e+09,-1.344142039909911601e-01,1.092422584151685611e-01,8.653230206384861234e-02,-6.991277994473624191e-02,-9.833870751668329774e-03,1.213537583630556749e-01,2.281139999999999873e+03,3.608000000000000000e+03,-6.650000000000000000e+02,-2.752000000000000000e+03,-2.177000000000000000e+03
1.777775005081022739e+09,-1.962471511666813995e-01,9.478403497393095289e-02,1.973990078142001670e-01,-6.285113660416274950e-02,-9.060254360297590598e-03,1.108667057503515824e-01,2.326860000000000127e+03,3.678000000000000000e+03,-8.210000000000000000e+02,-3.800000000000000000e+02,2.310000000000000000e+02
1.777775005224668980e+09,-2.614688837805224098e-01,8.032203412893756944e-02,3.279648951557090353e-01,-6.679140714100012532e-02,-1.389894138803313920e-03,1.305658873415088961e-01,2.372570000000000164e+03,3.750000000000000000e+03,1.179000000000000000e+03,2.760000000000000000e+02,-1.553000000000000000e+03
1.777775005365930080e+09,-3.151757850200712086e-01,5.842661971159725937e-02,4.484845769659655534e-01,-5.789720169946512007e-02,-3.428476138629469195e-03,1.205196818102565598e-01,2.418289999999999964e+03,3.821000000000000000e+03,7.750000000000000000e+02,4.000000000000000000e+02,-6.010000000000000000e+02
1.777775005515691519e+09,-3.672321485145260689e-01,1.917696599778186128e-02,5.670025706096701867e-01,-6.392692970526071827e-02,-1.279640400190071997e-02,1.185179936437046194e-01,2.470860000000000127e+03,3.903000000000000000e+03,-6.370000000000000000e+02,9.800000000000000000e+02,3.647000000000000000e+03
1.777775005660026789e+09,-4.162901922074843108e-01,-1.916911643506465784e-02,7.025293917724511061e-01,-6.197709537777127548e-02,-5.996110194241247027e-03,1.355268211627810027e-01,2.516570000000000164e+03,3.976000000000000000e+03,-2.749000000000000000e+03,-1.900000000000000000e+03,-1.170000000000000000e+02
1.777775005821808100e+09,-4.583595924062667248e-01,-7.953815825582136179e-02,8.383295989045588259e-01,-7.111526705354231925e-02,-1.889112054233188856e-02,1.358002071321077475e-01,2.571429999999999836e+03,4.059000000000000000e+03,-1.300000000000000000e+01,1.024000000000000000e+03,3.835000000000000000e+03
1.777775005986935616e+09,-4.933553180025089802e-01,-1.365388555703516693e-01,9.629023943277581488e-01,-6.578340889667780300e-02,-1.209642171398850850e-02,1.245727954231993506e-01,2.624000000000000000e+03,4.144000000000000000e+03,-1.301000000000000000e+03,-3.132000000000000000e+03,1.550000000000000000e+02
1.777775006098891020e+09,-5.321999126377330303e-01,-2.090790299402903174e-01,1.115286864740505202e+00,-8.173049785529862277e-02,-9.544901797345971967e-03,1.523844704127469418e-01,2.656000000000000000e+03,4.193000000000000000e+03,-1.441000000000000000e+03,-8.360000000000000000e+02,-2.809000000000000000e+03
1.777775006245383024e+09,-5.324066025053687534e-01,-2.674648659321290367e-01,1.229041282541324609e+00,-5.252356927839392509e-02,-2.549947519901134968e-02,1.137544178008192963e-01,2.708570000000000164e+03,4.278000000000000000e+03,-3.609000000000000000e+03,4.200000000000000000e+02,-4.130000000000000000e+02
1.777775006392107725e+09,-5.536118431521740435e-01,-3.260331409017270810e-01,1.390209240288984738e+00,-6.228789916864955339e-02,3.502584181584190168e-04,1.611679577476601566e-01,2.754289999999999964e+03,4.350000000000000000e+03,4.779000000000000000e+03,-1.672000000000000000e+03,-5.237000000000000000e+03
1.777775006536788464e+09,-5.591255013136273710e-01,-3.954100118409287767e-01,1.527893403517782467e+00,-6.923898561644366290e-02,-7.036584287983194824e-03,1.376841632287975625e-01,2.797710000000000036e+03,4.422000000000000000e+03,2.950000000000000000e+02,-3.356000000000000000e+03,9.830000000000000000e+02
1.777775006722773314e+09,-5.455182076835053406e-01,-4.474444434402082837e-01,1.670812804264806051e+00,-5.140293647745607097e-02,-1.582651677694915660e-02,1.429194007470234729e-01,2.859429999999999836e+03,4.519000000000000000e+03,1.387000000000000000e+03,5.200000000000000000e+02,3.630000000000000000e+02
1.777775006902469873e+09,-5.270125251381789777e-01,-5.164120877102296170e-01,1.806223099558822431e+00,-7.047076877594138367e-02,-1.152679446994619127e-02,1.354102952940164362e-01,2.918860000000000127e+03,4.617000000000000000e+03,8.270000000000000000e+02,-2.196000000000000000e+03,-2.513000000000000000e+03
1.777775007065154076e+09,-4.940116836193269578e-01,-5.860475120751851286e-01,1.955694880036203287e+00,-7.541223346749885426e-02,-1.584748910342627382e-02,1.494717804773806613e-01,2.966860000000000127e+03,4.689000000000000000e+03,-1.625000000000000000e+03,4.800000000000000000e+02,-5.850000000000000000e+02
1.777775007246608496e+09,-4.647267108420141679e-01,-6.314003072255021110e-01,2.084799778271654969e+00,-5.303011279995417659e-02,-1.011399006024226409e-02,1.291048982354516261e-01,3.028570000000000164e+03,4.786000000000000000e+03,4.550000000000000000e+02,-1.400000000000000000e+03,-1.633000000000000000e+03
1.777775007411791086e+09,-3.605677637565177784e-01,-7.419788795307545870e-01,2.334174070342764917e+00,-1.475015046617854930e-01,-3.633198361686506422e-02,2.493742920711099487e-01,3.083429999999999836e+03,4.871000000000000000e+03,3.100000000000000000e+01,-2.308000000000000000e+03,1.787000000000000000e+03
